employee_id,entered_at,enter_for,datetime
7794,2020-08-27 08:40:17,suppliement,
6588,2020-08-27 12:13:17,lunch,
8547,2020-08-27 11:58:17,payment,
8547,2020-08-27 18:10:17,meeting,
2009,2020-08-27 18:17:17,call,
6588,2020-08-27 16:02:17,bathroom,
1247,2020-08-27 11:46:17,payment,
3478,2020-08-27 17:28:17,bathroom,
1279,2020-08-27 13:48:17,payment,
3478,2020-08-27 08:38:17,payment,
2009,2020-08-27 10:34:17,meeting,
7792,2020-08-27 10:52:17,suppliement,
1247,2020-08-27 14:02:17,call,
2009,2020-08-27 18:35:17,meeting,
7792,2020-08-27 16:58:17,suppliement,
3478,2020-08-27 09:11:17,suppliement,
3478,2020-08-27 09:20:17,suppliement,
7792,2020-08-27 08:38:17,bathroom,
6588,2020-08-27 08:43:17,lunch,
2009,2020-08-27 14:33:17,meeting,
7794,2020-08-27 15:03:17,suppliement,
7792,2020-08-27 16:33:17,call,
2009,2020-08-27 16:22:17,suppliement,
1279,2020-08-27 07:42:17,payment,
8547,2020-08-27 17:29:17,reports,
2009,2020-08-27 09:36:17,lunch,
7794,2020-08-27 10:31:17,call,
1247,2020-08-27 14:24:17,call,
2009,2020-08-27 18:37:17,meeting,
8547,2020-08-27 18:33:17,lunch,
1279,2020-08-27 07:49:17,call,
2009,2020-08-27 10:17:17,reports,
2009,2020-08-27 07:10:17,call,
1279,2020-08-27 13:36:17,bathroom,
6588,2020-08-27 13:00:17,call,
1002,2020-08-27 08:01:17,payment,
1247,2020-08-27 13:51:17,suppliement,
7794,2020-08-27 18:31:17,bathroom,
7792,2020-08-27 07:02:17,lunch,
7792,2020-08-27 07:51:17,reports,
6588,2020-08-27 07:34:17,payment,
2009,2020-08-27 12:22:17,meeting,
1279,2020-08-27 16:58:17,suppliement,
2009,2020-08-27 12:09:17,bathroom,
6588,2020-08-27 12:07:17,bathroom,
1002,2020-08-27 10:30:17,payment,
1279,2020-08-27 15:32:17,payment,
1279,2020-08-27 08:46:17,meeting,
2009,2020-08-27 16:36:17,meeting,
8547,2020-08-27 12:06:17,reports,
6588,2020-08-27 11:29:17,bathroom,
3478,2020-08-27 18:55:17,meeting,
7792,2020-08-27 12:36:17,bathroom,
1247,2020-08-27 12:12:17,call,
7792,2020-08-27 10:48:17,payment,
1247,2020-08-27 13:13:17,meeting,
1279,2020-08-27 17:59:17,payment,
8547,2020-08-27 11:22:17,call,
7794,2020-08-27 13:19:17,bathroom,
1002,2020-08-27 17:53:17,lunch,
8547,2020-08-27 12:41:17,reports,
7794,2020-08-27 11:45:17,payment,
8547,2020-08-27 11:46:17,payment,
1002,2020-08-27 10:14:17,call,
7792,2020-08-27 13:23:17,meeting,
1279,2020-08-27 12:47:17,suppliement,
3478,2020-08-27 11:35:17,lunch,
1279,2020-08-27 08:26:17,meeting,
2009,2020-08-27 12:44:17,call,
3478,2020-08-27 11:22:17,meeting,
7794,2020-08-27 10:12:17,meeting,
6588,2020-08-27 16:07:17,bathroom,
3478,2020-08-27 11:40:17,lunch,
7792,2020-08-27 10:30:17,bathroom,
7792,2020-08-27 15:23:17,call,
8547,2020-08-27 18:30:17,lunch,
2009,2020-08-27 08:49:17,reports,
1247,2020-08-27 16:31:17,meeting,
6588,2020-08-27 12:10:17,bathroom,
3478,2020-08-27 12:17:17,suppliement,
3478,2020-08-27 11:49:17,lunch,
3478,2020-08-27 13:37:17,bathroom,
8547,2020-08-27 13:22:17,meeting,
2009,2020-08-27 14:34:17,reports,
6588,2020-08-27 12:21:17,bathroom,
2009,2020-08-27 07:10:17,suppliement,
6588,2020-08-27 18:34:17,lunch,
2009,2020-08-27 14:00:17,lunch,
1247,2020-08-27 12:28:17,call,
6588,2020-08-27 09:55:17,lunch,
7794,2020-08-27 15:41:17,bathroom,
7794,2020-08-27 08:47:17,lunch,
1279,2020-08-27 07:22:17,lunch,
8547,2020-08-27 07:01:17,payment,
7792,2020-08-27 07:17:17,lunch,
2009,2020-08-27 17:04:17,reports,
1002,2020-08-27 17:32:17,payment,
8547,2020-08-27 07:57:17,payment,
1247,2020-08-27 09:47:17,bathroom,
3478,2020-08-27 10:13:17,payment,
3478,2020-08-27 14:25:17,suppliement,
7794,2020-08-27 15:12:17,reports,
3478,2020-08-27 15:32:17,suppliement,
8547,2020-08-27 18:37:17,lunch,
8547,2020-08-27 08:44:17,payment,
8547,2020-08-27 11:09:17,meeting,
8547,2020-08-27 10:53:17,reports,
8547,2020-08-27 13:26:17,lunch,
7794,2020-08-27 17:01:17,reports,
3478,2020-08-27 09:46:17,payment,
1279,2020-08-27 14:25:17,bathroom,
7794,2020-08-27 12:20:17,lunch,
7792,2020-08-27 08:38:17,suppliement,
1247,2020-08-27 10:02:17,meeting,
