employee_id,entered_at,enter_for
8547,1598140425,call
2009,1598105385,reports
2009,1598131665,meeting
6588,1598105145,lunch
1279,1598102025,payment
3478,1598108145,bathroom
1279,1598134425,bathroom
1279,1598121885,lunch
1247,1598109285,bathroom
1247,1598118525,meeting
3478,1598138805,meeting
1002,1598136705,suppliement
8547,1598107425,payment
1002,1598102265,meeting
7794,1598119065,lunch
1247,1598132985,bathroom
1247,1598111925,lunch
2009,1598099985,payment
1279,1598101245,bathroom
6588,1598111265,lunch
1002,1598122485,call
2009,1598139405,payment
7794,1598110545,suppliement
1247,1598102325,bathroom
3478,1598119365,call
3478,1598121525,bathroom
7794,1598129625,reports
6588,1598121945,call
6588,1598112225,call
7794,1598103525,call
1247,1598120205,suppliement
1002,1598107605,lunch
1247,1598117745,meeting
1279,1598099745,payment
2009,1598126145,bathroom
2009,1598131245,meeting
2009,1598130585,suppliement
1002,1598132745,bathroom
3478,1598107245,bathroom
6588,1598130045,lunch
2009,1598100885,suppliement
1247,1598101965,suppliement
1279,1598123805,reports
7792,1598107665,lunch
1002,1598127585,meeting
1002,1598120085,meeting
7792,1598119185,bathroom
2009,1598102385,bathroom
8547,1598110845,meeting
1247,1598136405,suppliement
7792,1598101725,lunch
8547,1598128545,reports
6588,1598126745,lunch
7794,1598140665,call
8547,1598132985,suppliement
6588,1598108025,payment
1247,1598131485,call
1279,1598138925,lunch
2009,1598122185,suppliement
1002,1598139105,reports
1279,1598104605,meeting
6588,1598105445,call
2009,1598108745,call
7794,1598139105,payment
3478,1598127885,meeting
8547,1598106165,meeting
6588,1598136465,payment
1002,1598139165,call
3478,1598123445,suppliement
1279,1598108925,lunch
6588,1598110305,lunch
3478,1598130525,payment
7794,1598132025,lunch
6588,1598125365,payment
8547,1598124945,reports
2009,1598112045,lunch
1002,1598098785,call
1279,1598125065,reports
7792,1598129745,reports
7794,1598119665,bathroom
1279,1598119425,suppliement
3478,1598123325,call
8547,1598134245,meeting
7794,1598126385,bathroom
6588,1598110845,lunch
2009,1598109405,meeting
2009,1598133165,call
1279,1598118465,bathroom
6588,1598116845,meeting
1279,1598113545,bathroom
2009,1598126865,payment
1279,1598105505,call
1279,1598112825,reports
6588,1598111745,reports
7794,1598103285,lunch
1279,1598136285,meeting
7794,1598125485,reports
7792,1598131065,call
1002,1598125245,meeting
2009,1598117385,call
